"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";
"2";".01uF";"C-US050-050X075";"C050-050X075";"C17, C35";"CAPACITOR, American symbol";"";"";"";"";
"17";".1uF";"C-US050-050X075";"C050-050X075";"C2, C5, C13, C15, C16, C18, C19, C20, C21, C26, C27, C28, C30, C31, C32, C33, C34";"CAPACITOR, American symbol";"";"";"";"";
"3";"1.5k";"R-US_0207/10";"0207/10";"R7, R10, R11";"RESISTOR, American symbol";"";"";"";"";
"5";"100";"R-US_0207/10";"0207/10";"R12, R13, R14, R15, R16";"RESISTOR, American symbol";"";"";"";"";
"1";"10K";"R-TRIMM3006P";"RTRIM3006P";"R2";"Trimm resistor";"";"";"";"";
"1";"10uF";"C-US050-050X075";"C050-050X075";"C29";"CAPACITOR, American symbol";"";"";"";"";
"4";"1M";"R-US_0207/10";"0207/10";"R9, R23, R24, R26";"RESISTOR, American symbol";"";"";"";"";
"4";"1N4148";"DIODEDO-1N4148";"DO-1N4148";"D1, D2, D3, D4";"Diode";"";"";"";"";
"13";"1uF";"C-US050-050X075";"C050-050X075";"C3, C4, C6, C7, C22, C23, C24, C25, C36, C37, C38, C39, C40";"CAPACITOR, American symbol";"";"";"";"";
"2";"2.1MMJACKTHM";"2.1MMJACKTHM";"PJ-102A";"15VPOWER.1, 15VPOWER.2";"2.1mm x 5.5mm THM DC jack with internal switch. Digikey part #PJ-102A, 4UCON part #05537";"";"";"";"";
"1";"20k";"R-US_0207/10";"0207/10";"R8";"RESISTOR, American symbol";"";"";"";"";
"8";"22uF";"CPOL-USSANYO_F";"SANYO-OSCON_F";"C1, C8, C9, C10, C11, C12, C14, C41";"POLARIZED CAPACITOR, American symbol";"";"";"";"";
"1";"2N3904";"2N3904";"TO92";"T1";"NPN TRANSISTOR";"";"";"";"";
"1";"2k";"R-US_0207/10";"0207/10";"R19";"RESISTOR, American symbol";"";"";"";"";
"1";"3K";"R-US_0207/10";"0207/10";"R5";"RESISTOR, American symbol";"";"";"";"";
"2";"4.7k";"R-US_0207/10";"0207/10";"R4, R22";"RESISTOR, American symbol";"";"";"";"";
"1";"47";"R-US_0207/10";"0207/10";"R17";"RESISTOR, American symbol";"";"";"";"";
"2";"470";"R-US_0207/10";"0207/10";"R18, R20";"RESISTOR, American symbol";"";"";"";"";
"1";"520";"R-US_0207/10";"0207/10";"R25";"RESISTOR, American symbol";"";"";"";"";
"1";"60";"R-US_0207/10";"0207/10";"R21";"RESISTOR, American symbol";"";"";"";"";
"2";"DG333N";"MAX333N";"DIL20";"IC8, IC10";"";"";"";"";"";
"1";"KAI_0370C";"KAI_0370C";"KAI-0370C";"IC5";"";"";"";"";"";
"1";"L7812CV";"78XXS";"78XXS";"IC3";"VOLTAGE REGULATOR";"";"";"";"";
"1";"LM7912cv";"79XXS";"79XXS";"IC7";"VOLTAGE REGULATOR";"";"";"";"";
"1";"MAX528CPP";"MAX528CPP";"DIL20";"IC1";"DIGITAL/ANALOG CONVERTER";"";"";"";"";
"4";"MC34074";"LM324N";"DIL14";"IC2, IC6, IC11, IC12";"OP AMP";"";"";"";"";
"1";"MCP970XTO";"MCP970XTO";"TO92";"U$2";"";"";"";"";"";
"1";"R-785.0-1.0";"R-785.0-1.0";"SIP3";"IC9";"Innoline R-78xx-1.0 Series Switching Regulators - 1.0A, Standard";"Recom";"R-785.0-1.0";"1793143";"62X9542";
"1";"TEENSY3.6LIMITED";"TEENSY3.6LIMITED";"DIL";"U$1";"";"";"";"";"";
